Workshop,Museums,Disovery,Heritage,Relaxing,Marine Life,Theme parks,Landmarks,Wildlife,Tradition,Shows,Adventure,Educational,Galleries,Icons,Thrill,Food,Experience,Outdoor sports,Nature,History,Scenic,Explore,Games,Entertainment,Culture,Animals,Arts,title,id
0.3471314609050751,0.034438300877809525,0.4277099668979645,0.36822450160980225,0.024383289739489555,0.40063291788101196,0.9903298020362854,0.5575025677680969,0.2346571683883667,0.126387357711792,0.7700626850128174,0.8320618867874146,0.10822953283786774,0.4255858361721039,0.704920768737793,0.9564241766929626,0.03715839236974716,0.8623937368392944,0.1276978701353073,0.13415579497814178,0.5046724677085876,0.6484447717666626,0.767448902130127,0.26977789402008057,0.96397465467453,0.8337651491165161,0.15813560783863068,0.6190475225448608,Universal Studios Singapore Ticket,0
0.1663237065076828,0.09660810232162476,0.2234136164188385,0.36152487993240356,0.35605666041374207,0.367921382188797,0.1772295981645584,0.34705984592437744,0.4678686857223511,0.22316892445087433,0.10440749675035477,0.5410229563713074,0.18835239112377167,0.1434982568025589,0.502950131893158,0.4301670491695404,0.06330284476280212,0.6715863943099976,0.06798510253429413,0.44476452469825745,0.3738439679145813,0.777684211730957,0.7012165784835815,0.16215743124485016,0.3652489185333252,0.5771139860153198,0.39410731196403503,0.39612534642219543,Klook Pass Singapore,1
0.18798750638961792,0.11770865321159363,0.2771621644496918,0.40404370427131653,0.15880636870861053,0.09072644263505936,0.040053822100162506,0.4499741196632385,0.13384118676185608,0.1174188032746315,0.24004815518856049,0.4167490601539612,0.08993227034807205,0.21026529371738434,0.7403879761695862,0.3244607746601105,0.05856035649776459,0.6414624452590942,0.06974054127931595,0.5587692856788635,0.1610303819179535,0.7077343463897705,0.5696184039115906,0.15526288747787476,0.3081209063529968,0.751211941242218,0.151203453540802,0.4198625385761261,Gardens by the Bay Ticket in Singapore,2
0.27968862652778625,0.4895918071269989,0.49693068861961365,0.5384179353713989,0.10833790153265,0.9181498289108276,0.04072675481438637,0.5862374305725098,0.544594407081604,0.27973899245262146,0.4524148106575012,0.896205484867096,0.6910956501960754,0.6708929538726807,0.6780514717102051,0.712442934513092,0.08611684292554855,0.9263807535171509,0.1027260422706604,0.6430622339248657,0.4542876183986664,0.7851597666740417,0.9286050796508789,0.32999032735824585,0.855679452419281,0.9327298402786255,0.8820832371711731,0.7927634716033936,"S.E.A. Aquarium Ticket Sentosa, Singapore",3
0.27234217524528503,0.15082044899463654,0.5237431526184082,0.39138931035995483,0.4631127715110779,0.17252443730831146,0.46731337904930115,0.35929083824157715,0.717492401599884,0.21501122415065765,0.47151169180870056,0.887826681137085,0.17717337608337402,0.23433013260364532,0.5873385071754456,0.5794454216957092,0.9498486518859863,0.8461559414863586,0.2799394130706787,0.8696998953819275,0.3973093330860138,0.5130899548530579,0.7452588081359863,0.16904182732105255,0.7630251049995422,0.7030438780784607,0.7949234247207642,0.44304507970809937,Night Safari Singapore Ticket With Tram Ride,4
0.09326519072055817,0.04694110527634621,0.14456690847873688,0.1456231027841568,0.03157055377960205,0.16577522456645966,0.6523172855377197,0.20372869074344635,0.1983068436384201,0.03907381370663643,0.3560411334037781,0.9382740259170532,0.23385845124721527,0.1788419485092163,0.5844889283180237,0.9024988412857056,0.015497690998017788,0.827858567237854,0.5257447957992554,0.11162517219781876,0.30883514881134033,0.7143712639808655,0.702439546585083,0.33355721831321716,0.9417312741279602,0.7854472398757935,0.12733477354049683,0.549310564994812,Splashtopia @ Sentosa Palawan Green,5
0.24167665839195251,0.10975279659032822,0.5974546074867249,0.5190824866294861,0.45193198323249817,0.33867406845092773,0.2736736536026001,0.6234467625617981,0.39904674887657166,0.17662201821804047,0.5528746247291565,0.759824275970459,0.694251537322998,0.4488360285758972,0.759708821773529,0.6881840825080872,0.737065315246582,0.6763306260108948,0.1734163761138916,0.5391374230384827,0.3876288831233978,0.8526636362075806,0.8535956740379333,0.40329980850219727,0.8496769666671753,0.8772798776626587,0.2536822259426117,0.6897803544998169,Singapore Cable Car Sky Pass,6
0.27336210012435913,0.04832824319601059,0.4822246730327606,0.6889388561248779,0.43237733840942383,0.4198192358016968,0.016227329149842262,0.7147566080093384,0.8066979050636292,0.1642083376646042,0.13834787905216217,0.8195407390594482,0.37107664346694946,0.5055322051048279,0.5941051840782166,0.49997031688690186,0.06254904717206955,0.6663064360618591,0.08218536525964737,0.8583180904388428,0.45203250646591187,0.8984711766242981,0.8928602337837219,0.3058554530143738,0.71221524477005,0.8684089779853821,0.8719084858894348,0.5686593055725098,Singapore Zoo Ticket With Tram Ride,7
0.10352606326341629,0.51002436876297,0.06376703083515167,0.048023905605077744,0.024104852229356766,0.23903442919254303,0.029729681089520454,0.7508271932601929,0.12078530341386795,0.006645865272730589,0.3572627604007721,0.08834432065486908,0.15136049687862396,0.35820916295051575,0.21001991629600525,0.07065796107053757,0.023766757920384407,0.17408396303653717,0.13481013476848602,0.31533920764923096,0.04363354295492172,0.2764981985092163,0.36165329813957214,0.14239540696144104,0.40189528465270996,0.44368672370910645,0.09605729579925537,0.5148281455039978,ArtScience Museum at Marina Bay Sands Ticket,8
0.2022276520729065,0.1913013607263565,0.26903554797172546,0.766440212726593,0.3123873174190521,0.2726414203643799,0.040700044482946396,0.4762759804725647,0.2223554253578186,0.42985284328460693,0.4576328694820404,0.5739197731018066,0.3297100365161896,0.3303207755088806,0.6301244497299194,0.32473304867744446,0.04292736202478409,0.7224948406219482,0.08967316150665283,0.11237293481826782,0.7412704229354858,0.7417629361152649,0.7527572512626648,0.26622509956359863,0.7924867272377014,0.9540458917617798,0.11900985240936279,0.6192059516906738,Singapore Flyer Ticket,9
